Order,Lot Area,Gr Liv Area,Overall Qual,Exter Qual,Kitchen Qual,Garage Area,PorchSFTotal,BathroomsTotal,HouseAge,HouseRemodelAge,Total Bsmt SF,Railroad_Near,Railroad_Adjacent,NeighborhoodClass,Sale Condition_Alloca,Sale Condition_Normal,Sale Condition_Partial,Sale Type_COD,Sale Type_CWD,Sale Type_ConLD,Sale Type_ConLI,Sale Type_ConLw,Sale Type_New,Sale Type_Oth,Sale Type_VWD,Sale Type_WD,SalePrice
38,11478,1704,8,3,3,772.0,50,3.0,3,2,1218.0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,306000
39,10159,1940,9,4,4,606.0,263,3.5,1,0,1646.0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,395192
40,12883,1544,8,3,3,868.0,35,2.0,1,0,0.0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,290941
41,12182,1541,7,3,3,532.0,70,2.0,5,5,1201.0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,220000
42,11520,1698,9,3,4,730.0,266,2.0,5,5,110.0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,275000
43,14122,1822,8,3,4,678.0,119,2.0,5,4,28.0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,259000
44,10171,1535,7,3,3,532.0,0,2.0,6,6,2.0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,214000
45,12919,2364,9,4,4,820.0,67,3.5,1,0,2188.0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,611657
46,6371,1358,7,3,3,484.0,227,3.0,1,0,733.0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,224000
47,14300,2696,9,4,4,958.0,370,3.5,7,6,1373.0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,500000
48,13650,2250,8,3,3,756.0,368,3.5,8,8,578.0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,320000
49,7658,1752,9,4,4,576.0,278,3.0,5,5,456.0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,319900
50,7132,1370,8,3,3,484.0,169,2.0,4,4,24.0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,205000
51,2628,1626,7,3,3,474.0,27,2.5,7,7,0.0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,175500
52,18494,1324,6,3,3,430.0,59,2.0,5,5,0.0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,199500
53,3203,1145,7,3,3,437.0,216,2.0,4,4,16.0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,160000
54,3182,1269,8,3,3,430.0,310,2.0,6,5,24.0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,192000
55,13300,1374,7,3,3,400.0,100,3.5,6,6,326.0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,184500
56,7851,1960,6,3,3,440.0,336,3.5,8,8,625.0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,216500
57,8577,1733,7,3,3,433.0,192,2.5,6,6,0.0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,185088
58,7750,1430,7,2,2,400.0,180,2.5,10,10,250.0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,180000
59,9505,2035,7,3,3,434.0,192,2.5,9,9,0.0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,222500
60,14774,2599,9,3,3,779.0,698,2.5,11,11,0.0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,333168
61,17433,2475,8,3,3,962.0,451,2.5,12,12,0.0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,355000
62,10593,1720,7,3,3,527.0,450,3.0,14,14,919.0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,260400
63,12256,2622,8,3,3,712.0,218,3.5,16,15,1032.0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,325000
64,11764,2270,8,3,3,671.0,189,2.5,11,3,524.0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,290000
65,16770,1839,7,3,2,486.0,81,2.5,12,12,0.0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,221000
66,14720,3238,8,3,3,666.0,369,3.5,15,14,816.0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,410000
67,8987,1595,8,3,3,880.0,144,2.0,5,4,0.0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,221500
68,9215,1218,7,3,3,676.0,136,2.0,1,0,0.0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,204500
69,8640,1547,7,2,3,614.0,214,2.5,1,1,24.0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,215200
70,9000,1566,8,3,3,750.0,312,3.0,2,2,1078.0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,262500
71,12552,1947,7,3,3,678.0,136,2.5,6,5,222.0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,254900
72,10440,1468,6,3,3,528.0,318,3.0,5,5,1414.0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,271500
73,10142,2084,7,3,3,618.0,45,3.5,6,6,656.0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,233000
74,11920,1659,7,3,3,484.0,212,2.5,6,6,0.0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,181000
75,8880,2110,7,3,3,463.0,130,3.5,16,8,695.0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,205000
76,8012,923,6,2,2,264.0,80,2.0,30,30,662.0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,143000
77,11218,1845,6,3,3,462.0,739,2.5,18,18,0.0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,189000
78,7892,918,6,2,2,264.0,28,2.0,31,31,0.0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,99500
79,7175,752,6,2,2,264.0,443,2.0,26,26,744.0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,125000
80,9453,1744,7,3,3,457.0,678,2.5,17,7,402.0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,1,194500
81,9672,1097,6,2,2,480.0,0,2.0,26,25,338.0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,152000
82,8400,1564,6,2,2,476.0,254,2.5,30,29,0.0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,171000
83,9800,1012,5,2,2,429.0,201,1.0,90,60,0.0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,67500
84,8930,1902,6,2,2,539.0,0,2.0,32,32,0.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,112000
85,11782,1155,5,2,3,576.0,192,2.0,49,15,899.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,148000
86,8450,894,5,2,2,336.0,560,2.0,45,1,670.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,138500
87,9819,900,5,2,2,280.0,0,1.0,43,43,450.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,122000
88,7500,1040,5,2,2,308.0,220,2.5,47,47,824.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,133000
89,6897,1040,5,2,2,260.0,104,2.5,48,0,659.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,127000
90,15410,1494,6,2,2,461.0,482,3.0,36,8,985.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,169000
91,10186,1923,7,3,3,564.0,279,3.5,18,18,674.0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,190000
92,13143,2349,8,3,3,762.0,162,3.5,17,17,1231.0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,362500
93,11134,2225,8,3,3,713.0,228,3.5,18,17,1129.0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,285000
94,4835,1488,7,3,3,506.0,218,3.0,6,5,1298.0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,260000
95,3515,1680,7,3,3,588.0,111,2.5,6,6,0.0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,190000
96,3215,1200,7,3,3,480.0,172,2.5,6,6,280.0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,155000
97,3182,1200,7,3,3,480.0,172,2.5,6,5,0.0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,151000
98,2544,1200,7,3,3,480.0,172,3.5,6,5,410.0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,149500
99,2544,1236,6,3,3,480.0,166,3.5,5,5,376.0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,152000
100,4403,1478,7,4,3,484.0,144,3.5,1,1,578.0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,222000
101,2117,1573,6,3,3,440.0,32,2.5,10,10,378.0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,177500
102,2980,1512,6,3,3,440.0,32,3.5,10,10,466.0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,177000
103,2572,1416,7,3,3,484.0,44,3.5,11,11,604.0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,155000
104,2403,1080,7,3,3,496.0,50,2.5,7,7,244.0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,147110
105,12853,1418,8,3,3,852.0,576,2.5,0,0,1032.0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,267916
106,7379,1848,8,3,3,592.0,464,3.5,10,10,484.0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,254000
107,4420,788,8,3,3,484.0,175,2.0,30,30,728.0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,155000
108,3880,1226,8,3,3,484.0,301,2.0,32,32,1052.0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,206000
109,13517,1479,6,3,3,475.0,44,2.5,34,5,533.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,130500
110,8000,1492,7,3,3,596.0,414,3.0,8,8,833.0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,230000
111,10456,1829,6,2,2,535.0,76,3.0,43,43,506.0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,218500
112,10791,2495,6,2,3,660.0,256,3.5,17,17,1137.0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,243500
113,10603,1610,6,2,3,480.0,236,3.0,33,9,1200.0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,205000
114,18837,1891,6,2,2,678.0,69,3.5,32,32,733.0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,212500
115,10421,1714,7,2,2,496.0,450,2.5,22,22,394.0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,196500
116,9360,1381,6,2,3,676.0,0,2.5,38,4,982.0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,197500
117,9600,1645,6,2,2,441.0,78,2.0,39,39,329.0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,171000
118,9600,1232,5,2,2,490.0,224,2.5,44,44,698.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,142250
119,9790,1328,6,2,2,528.0,26,2.5,47,47,650.0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,143000
120,9320,1225,4,2,2,0.0,352,2.5,51,51,569.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,128950
121,9900,1209,5,2,2,504.0,120,2.0,44,44,1059.0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,159000
122,9680,1510,5,2,3,517.0,244,3.0,43,43,1010.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,178900
123,10600,1775,6,2,2,480.0,172,2.0,46,46,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,136300
124,14112,1152,5,2,2,484.0,227,2.0,46,46,1014.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,180500
125,8800,1054,6,2,3,480.0,120,2.0,47,47,763.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,137500
126,13260,1728,5,2,2,0.0,0,4.0,48,9,1500.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,84900
127,9717,1078,5,2,3,240.0,478,2.0,60,14,1078.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,142125
128,9724,2461,5,3,2,400.0,0,2.0,58,8,670.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,197600
129,17360,1556,6,2,2,470.0,150,2.0,61,60,300.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,172500
130,7207,858,5,2,2,0.0,117,2.0,52,2,696.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,116500
131,5350,1306,3,2,1,0.0,263,1.0,70,44,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,76500
132,9920,1063,5,2,2,280.0,164,2.0,56,56,644.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,128000
133,9600,1520,6,2,2,364.0,189,2.0,55,38,806.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,153000
134,7800,1268,5,2,2,244.0,98,1.0,56,56,540.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,132000
135,11380,1128,6,2,3,315.0,238,2.0,44,2,944.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,178000
136,11600,2274,5,2,2,480.0,0,2.0,50,50,443.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,154300
137,19900,2207,7,2,2,576.0,301,3.0,40,21,912.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,180000
138,16492,1888,6,3,3,578.0,0,2.5,44,8,960.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,190000
139,8267,1604,5,2,2,576.0,42,2.0,52,52,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,135000
140,8197,1480,7,3,3,620.0,325,3.0,7,1,1188.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,214000
141,8050,1143,5,2,2,308.0,0,2.0,51,51,1018.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,136000
142,10552,1700,5,2,3,447.0,38,2.0,51,51,1018.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,165500
143,8400,1314,5,2,2,294.0,250,2.0,53,53,922.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,145000
144,8760,1194,6,2,2,312.0,120,2.0,51,51,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,148000
145,12160,1188,5,2,2,531.0,0,2.0,51,51,1000.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,142000
146,9300,1264,5,2,2,461.0,143,2.0,50,50,697.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,167500
147,10725,1206,5,2,2,312.0,21,1.0,51,51,936.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,108538
148,10032,1580,6,2,2,440.0,188,2.5,51,51,734.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,159500
149,8382,1337,4,2,2,263.0,0,1.0,54,54,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,108000
150,10950,1064,5,2,1,318.0,0,1.5,58,58,339.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,135000
151,10895,972,5,2,2,305.0,205,1.0,55,55,648.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,122500
152,13587,988,5,2,2,264.0,0,2.0,52,52,532.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,119000
153,7922,1057,5,2,3,246.0,52,2.0,57,3,731.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,109000
154,7898,985,4,2,2,676.0,0,1.5,90,16,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,105000
155,7200,827,5,2,2,392.0,0,1.0,55,3,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,107500
156,10200,1086,5,2,2,490.0,0,2.0,56,7,682.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,144900
157,5868,936,5,2,2,308.0,240,2.0,54,10,488.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,129000
158,17503,1458,6,2,2,330.0,192,1.5,62,60,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,97500
159,6979,1056,6,2,2,576.0,320,2.0,30,30,1056.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,144000
160,9830,1287,5,2,3,576.0,563,2.0,51,4,330.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,162000
161,11275,2978,7,3,3,564.0,240,2.5,43,3,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,242000
162,8064,1224,6,2,2,280.0,414,2.0,62,6,655.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,132000
163,7500,1246,5,2,3,305.0,218,2.5,51,16,1246.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,154000
164,8520,1385,5,2,2,720.0,0,2.0,58,58,507.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,166000
165,7200,900,5,2,3,576.0,254,1.5,59,10,720.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,134800
166,10000,1116,6,2,2,440.0,385,1.5,48,48,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,160000
167,7635,1175,5,2,2,484.0,0,1.5,50,50,938.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,148000
168,9760,1395,6,2,2,440.0,1010,2.0,47,26,980.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,192000
169,7700,1839,6,2,2,442.0,340,1.5,44,44,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,155000
170,4800,1844,4,2,2,240.0,84,2.0,110,56,48.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,80400
171,8800,1140,4,2,2,0.0,160,1.0,100,6,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,96500
172,4485,936,5,2,2,0.0,186,2.0,90,60,579.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,109500
173,8960,1028,5,2,2,360.0,130,1.0,83,60,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,115000
174,5805,1347,5,2,3,551.0,0,2.5,53,53,1347.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,143000
175,5790,1605,3,3,2,379.0,202,2.0,95,60,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,107400
176,4608,747,4,2,2,220.0,0,1.0,65,60,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,80000
177,7200,804,5,2,3,240.0,154,2.0,70,18,510.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,119000
178,5500,1316,5,2,2,484.0,0,2.0,81,9,926.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,130000
179,6900,1251,6,2,1,240.0,0,1.0,72,10,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,119000
180,11851,1633,5,2,3,240.0,226,1.0,62,1,780.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,129000
181,8239,1245,5,2,2,315.0,334,1.0,90,48,176.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,100000
182,9656,832,2,2,2,780.0,0,1.0,87,40,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,12789
183,8520,720,6,2,2,484.0,106,1.0,82,7,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,105900
184,9600,1566,8,3,3,288.0,528,2.0,110,7,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,150000
185,10800,1652,5,2,2,416.0,196,3.0,95,60,686.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,139000
186,9000,2268,8,3,3,624.0,108,3.0,120,8,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,240000
187,9045,2256,5,2,1,0.0,36,2.0,100,60,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,76500
188,7407,1236,6,2,2,923.0,316,2.0,53,14,600.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,149700
189,7740,1363,4,2,2,528.0,168,1.0,100,60,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,125500
190,11340,2290,4,2,2,560.0,114,2.0,125,60,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,122500
191,10560,1470,6,2,2,624.0,0,1.5,88,16,283.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,140750
192,5830,1612,5,2,2,363.0,0,1.5,60,13,788.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,128500
193,7793,2068,7,2,3,315.0,60,1.5,88,5,474.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,209500
194,5000,765,4,2,3,200.0,176,2.0,85,60,188.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,87000
195,6000,1132,6,2,2,240.0,128,2.0,71,60,464.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,134000
196,6000,1196,6,2,2,576.0,0,2.0,70,60,264.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,128000
197,6360,1453,5,2,3,240.0,183,1.5,68,60,519.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,132000
198,6000,1416,6,2,2,312.0,269,1.5,62,60,300.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,139900
199,6240,1040,5,2,2,624.0,338,1.0,74,30,276.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,123900
200,6240,1536,5,2,2,480.0,10,2.0,80,60,448.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,138400
201,6120,1068,6,2,2,288.0,128,2.0,87,60,960.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,109500
202,10300,1710,7,2,2,480.0,87,2.0,89,60,0.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,140000
203,8094,1962,4,2,2,572.0,524,1.5,95,60,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,149500
204,12900,1560,6,3,3,0.0,512,1.5,98,1,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,159900
205,3068,1324,6,2,2,180.0,112,1.5,90,17,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,122000
206,8472,816,5,1,2,516.0,106,2.0,47,47,816.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,110000
207,5600,1092,4,1,1,0.0,0,2.0,80,60,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,55000
