Order,HouseFunctional,Lot Area,Gr Liv Area,SalePrice,Bsmt Cond,Bsmt Qual,Exter Cond,Exter Qual,Kitchen Qual,Overall Cond,Overall Qual
250,7,10475,1694,245350,4,5,2,3,3,5,8
251,7,6762,1208,206000,4,5,2,3,3,5,7
252,7,10402,1226,198900,4,5,2,2,3,5,7
253,7,7360,1222,187000,4,5,2,3,3,5,7
254,7,12376,3222,320000,4,5,2,2,3,5,7
255,7,14235,1445,138500,5,3,2,2,2,8,6
256,7,8816,1052,155000,4,4,2,2,2,7,6
257,7,11105,965,159000,3,5,3,2,2,5,5
258,7,9337,1692,191000,4,5,2,2,2,5,7
259,7,8750,1682,200500,4,5,2,2,3,5,6
260,7,15240,1026,150000,4,5,3,3,2,8,5
261,7,10900,1392,161750,4,5,2,2,2,7,6
262,7,10650,894,128200,5,4,2,2,2,6,5
263,7,7480,876,127000,4,4,2,2,2,6,5
264,7,10389,1978,318000,4,5,2,3,3,5,8
265,7,11423,1601,272000,4,5,2,3,3,5,8
266,7,9548,1829,237000,4,5,2,3,3,6,7
267,7,9375,2098,240000,4,5,2,3,3,5,7
268,7,12137,1661,224900,4,5,2,2,3,5,7
269,7,4435,848,143750,4,5,2,3,3,5,6
270,7,4426,848,143000,4,5,2,3,3,5,6
271,7,10635,1668,232000,4,5,2,3,3,5,8
272,7,8400,1484,213000,4,5,2,3,3,5,7
273,7,8773,1414,185500,4,5,2,3,3,5,7
274,6,8777,640,84900,0,0,3,2,2,6,3
275,7,8842,992,155891,4,3,3,2,2,6,5
276,7,9825,1664,100000,0,0,2,2,2,5,5
277,7,10044,1196,144000,4,5,2,2,2,6,5
278,7,11792,1120,64000,4,4,2,2,1,5,4
279,7,6305,1096,125200,4,4,2,2,2,6,6
280,7,7819,1117,107000,4,4,2,2,2,5,6
281,7,6410,960,90000,4,4,2,2,2,5,4
282,7,8546,1121,140000,4,5,2,2,2,5,4
283,7,8741,1487,113000,3,4,2,2,2,4,6
284,7,12180,924,80000,4,5,1,2,1,4,4
285,5,8562,1526,144500,4,4,2,2,2,6,5
286,7,4853,1296,104000,4,4,2,2,1,6,5
287,7,6858,1647,128000,4,5,2,2,1,4,6
288,7,8212,864,58500,3,4,1,2,2,3,3
289,7,5000,1691,127000,4,4,2,2,3,6,5
290,7,7890,856,126000,4,4,2,2,2,6,6
291,5,7200,2650,160000,0,0,2,2,2,6,4
292,7,9839,1666,100000,3,4,2,2,2,2,5
293,5,9638,2447,169000,4,4,2,2,3,7,6
294,7,10452,2133,257500,4,5,3,3,2,6,7
295,7,15600,2177,215000,4,4,3,2,2,6,5
296,7,9042,2340,266500,5,4,3,4,3,9,7
297,7,17500,1902,335000,4,5,3,3,4,8,7
298,7,19645,1652,203135,4,5,2,2,3,6,7
299,7,3907,1034,185000,4,5,2,3,3,6,8
300,7,3907,1191,162500,4,5,2,3,3,5,8
301,7,15602,1801,289000,4,4,2,2,2,8,7
302,7,5436,1154,125500,4,4,3,2,3,8,4
303,7,8154,540,82000,4,4,2,2,2,5,2
304,7,9140,1107,110000,4,4,2,2,2,5,6
305,7,7500,1128,68400,4,4,3,2,2,4,4
306,7,8712,1178,102776,4,4,2,2,2,7,4
307,7,8712,1044,55993,4,4,2,1,1,5,5
308,7,8712,952,50138,4,4,1,1,2,7,4
309,7,3811,1646,246000,4,5,2,3,3,5,8
310,7,11050,1916,254900,4,5,2,3,3,5,8
311,7,9620,1285,190000,4,4,2,2,3,7,6
312,7,9196,1560,201000,4,5,2,3,3,5,7
313,7,12328,1034,169900,4,4,2,2,2,5,6
314,7,12760,2048,170000,4,4,2,2,2,5,6
315,6,57200,1687,160000,4,4,2,2,2,5,5
316,7,11896,1346,220000,4,5,2,3,3,5,7
317,7,9803,1214,179781,4,5,2,3,3,5,7
318,7,9802,1444,174000,4,5,2,2,2,5,5
319,7,12003,1968,269500,4,5,2,3,4,5,8
320,7,11316,1894,214900,4,5,2,3,3,5,7
321,7,14191,1908,202900,4,5,2,3,3,5,8
322,7,13214,2018,378500,4,5,2,4,4,5,9
323,7,15300,1264,169000,4,4,2,2,2,5,5
324,7,10114,1430,173500,4,5,2,2,3,5,5
325,7,9400,1824,139000,4,4,2,2,2,5,6
326,7,11875,1344,166500,4,5,2,2,2,5,5
327,7,1974,1092,83500,4,4,2,2,2,5,4
328,7,2394,945,119500,4,5,2,2,2,6,5
329,7,2592,1112,85000,4,5,2,2,2,3,5
330,7,1476,1092,76000,4,4,2,2,2,7,4
331,7,1491,630,75500,4,5,2,2,2,6,4
332,7,1900,1092,88250,4,4,2,2,2,4,4
333,7,1890,1092,85500,4,4,2,2,2,6,4
334,7,6953,874,130000,4,4,3,2,2,7,5
335,7,26142,1188,157900,4,4,2,2,2,7,5
336,7,12887,833,149900,4,5,2,2,3,7,5
337,7,7700,2432,159000,4,4,0,2,2,2,5
338,7,10475,1274,136000,4,5,2,2,2,5,5
339,7,10544,1479,161000,4,4,2,2,2,5,5
340,7,9892,1803,285000,5,5,3,3,3,5,8
341,7,12961,1797,231000,4,5,3,3,3,5,6
342,7,13008,882,124500,3,3,2,2,2,5,6
343,7,10200,1434,157000,4,4,2,2,2,5,6
344,7,13860,2704,345000,4,5,2,3,4,7,8
345,7,10179,1608,189500,4,5,2,2,2,5,6
346,7,11792,2283,270000,4,5,2,3,3,5,8
347,7,8400,1628,189000,4,5,2,2,2,5,7
348,7,14892,1746,377500,4,5,2,4,4,5,9
349,7,8530,1474,168500,4,5,2,2,2,5,7
350,7,7296,2522,375000,4,5,2,3,3,5,8
351,7,5664,1659,278000,4,5,2,3,4,5,8
352,7,7380,1478,240000,4,5,2,2,2,5,8
353,7,8013,1734,239500,4,5,2,3,3,5,8
354,7,8923,1382,177500,4,5,2,3,2,5,7
355,7,10141,1718,185000,4,5,2,2,2,5,7
356,7,7500,1636,191000,4,5,2,3,2,5,6
357,7,7837,1571,178000,4,5,2,3,2,7,6
358,7,9765,1470,185000,5,5,3,4,2,8,6
359,7,8803,1516,181316,4,5,2,2,3,5,6
360,7,7250,1190,166000,4,5,2,2,3,5,6
361,7,9636,1593,178000,4,5,2,2,2,5,6
362,7,8125,1481,174000,4,5,2,2,2,5,6
363,7,9248,1167,173000,4,5,2,2,3,6,6
364,7,10762,1983,225000,4,5,2,3,3,5,7
365,7,11851,1442,180500,4,5,2,2,2,5,7
366,7,5814,1360,187500,4,5,2,3,3,5,8
367,7,17423,2234,501837,4,5,2,4,4,5,9
368,7,11844,2046,372500,4,5,2,3,3,5,8
369,7,16158,1530,260000,4,5,2,3,3,5,7
370,7,11900,1934,185000,4,5,2,2,2,6,5
371,7,13005,2353,260000,4,5,2,3,4,7,7
372,7,17043,1586,181000,3,5,3,2,2,5,6
373,7,11900,1411,82500,4,4,3,2,2,5,7
374,7,16635,1602,215000,4,5,2,3,3,7,6
375,7,13250,2050,154000,4,5,2,2,3,6,7
376,7,10928,1671,200000,4,4,2,2,2,6,6
377,7,12388,2673,249000,4,5,2,2,3,7,7
378,7,14115,1472,187500,4,5,2,2,2,5,7
379,7,11088,1707,184000,4,4,2,2,2,5,6
380,7,9600,2524,278000,4,5,2,3,3,5,8
381,7,11880,1601,157000,4,5,2,2,2,5,7
382,7,10400,1370,152000,4,5,2,2,2,5,7
383,7,10304,1868,197500,4,4,3,2,3,7,5
384,7,7000,1884,240900,4,5,2,3,4,5,7
385,7,8004,1935,263435,4,5,2,3,2,5,8
386,7,7500,1874,220000,4,5,2,3,3,5,8
387,7,8470,1811,235000,4,5,2,3,3,5,8
388,7,9373,1621,213000,4,5,2,2,2,7,5
389,7,10140,1116,167900,4,4,2,2,2,6,6
390,7,11050,1193,158000,4,4,2,2,2,5,7
391,7,10140,1350,165000,4,5,2,2,2,5,6
392,7,10448,2119,158000,4,4,2,2,2,6,6
393,7,9000,1792,136000,4,5,2,2,2,5,5
394,7,8750,1002,148500,4,4,2,2,2,6,5
395,7,7930,1026,156000,4,4,2,2,3,8,6
396,7,7830,1180,128000,4,4,2,2,2,5,5
397,7,8510,1050,143000,4,5,2,2,2,7,5
398,7,7038,864,76500,4,4,2,2,2,6,4
399,7,6960,864,120500,4,4,2,2,3,6,4
400,7,8120,864,124500,4,4,3,2,2,7,4
401,7,10500,864,97000,4,4,2,2,2,6,4
402,7,9000,864,130000,4,4,3,2,2,7,4
403,7,1680,987,111000,4,4,2,2,2,5,6
404,6,2368,1365,125000,4,4,2,2,2,6,5
405,7,1680,1302,112000,4,4,2,2,2,5,5
406,7,1680,987,97000,4,4,2,2,2,6,6
407,7,1680,987,118000,4,4,2,2,3,8,6
408,7,1680,1302,119500,4,4,2,2,2,7,5
409,7,4928,958,143750,4,5,2,2,2,6,6
410,7,2308,1548,146000,4,5,2,2,2,5,6
411,7,2280,1456,148500,4,5,2,2,2,6,6
412,7,2280,1055,123000,4,5,2,2,2,5,7
413,7,2308,1322,147000,4,4,2,2,2,5,6
414,7,2349,1456,137900,4,5,2,2,2,5,6
415,7,2364,1548,147000,4,5,2,2,2,5,6
416,7,2289,1441,148500,4,4,2,2,2,6,6
417,7,2364,1456,138000,4,5,2,3,2,5,6
418,7,2104,836,128500,4,4,2,2,2,6,7
419,7,7150,892,100000,4,4,2,2,2,5,5
420,7,10710,1120,148800,4,4,2,3,2,7,5
421,7,12456,1718,337500,4,5,2,4,4,5,10
422,7,14257,2772,462000,4,5,2,4,4,5,9
423,7,13518,3140,485000,4,5,2,4,4,5,9
424,7,15431,2402,555000,4,5,2,4,4,5,10
425,7,13173,1652,325000,4,5,2,3,4,5,9
426,7,14230,1600,256300,4,5,2,3,3,5,8
427,7,12704,2042,253293,4,5,2,4,4,5,8
428,7,12350,2690,398800,4,5,2,3,4,5,9
429,7,11308,2184,335000,4,5,2,4,4,5,9
430,7,12350,2020,404000,4,5,2,4,4,5,9
431,7,12220,2020,402861,4,5,2,4,4,5,10
432,7,13478,2296,451950,4,5,2,4,4,5,10
433,7,13693,2674,610000,4,5,2,4,4,5,10
434,7,13891,2822,582933,4,5,2,4,4,5,9
435,7,11578,1736,360000,4,5,2,4,4,5,9
436,7,16870,1782,296000,4,5,2,3,3,5,8
437,7,23303,2520,409900,4,5,2,3,4,5,8
438,7,11146,1717,255500,4,5,2,3,3,5,8
439,7,10367,1743,335000,4,5,2,4,4,5,9
440,7,9591,1713,274900,4,5,2,3,4,5,8
441,7,10872,1531,300000,5,5,2,3,4,5,9
442,7,13514,1808,324000,4,5,2,4,4,5,9
443,7,8834,2224,350000,4,5,2,3,4,5,9
444,7,11362,1836,280000,4,5,2,3,3,5,8
445,7,10655,1629,284000,4,5,2,3,3,5,8
446,7,12878,1760,269500,4,5,2,3,3,5,7
447,7,9541,1502,233170,4,5,2,3,3,5,7
448,7,13472,2392,386250,4,5,2,4,4,5,10
449,7,15274,2452,445000,4,5,2,3,4,5,9
450,7,13262,2400,290000,4,5,2,3,3,5,8
451,7,9658,1606,255900,4,5,2,3,3,5,8
452,7,6904,1358,213000,4,5,2,3,3,5,6
453,7,5381,1306,196000,4,5,2,3,3,5,6
454,7,5122,1306,184500,4,5,2,3,3,5,6
455,7,10307,1358,212500,4,5,2,3,3,5,7
456,7,5001,1314,230000,4,5,2,3,3,5,7
457,7,14836,2492,552000,4,5,2,4,4,5,10
458,7,15262,2200,382500,4,5,2,3,4,5,8
459,7,7390,1884,320000,4,5,2,4,4,5,9
460,7,6472,1456,248500,4,5,2,4,4,5,9
461,7,16770,1712,286500,4,5,2,3,3,5,8
462,7,6240,1324,254000,4,5,2,3,3,5,8
463,7,3480,1405,173000,4,5,2,3,3,5,7
464,7,2268,1626,173000,4,5,2,3,3,5,7
465,7,10928,1456,184000,5,5,2,3,3,5,7
466,7,8918,1490,167800,4,5,2,3,3,5,6
467,7,12589,1484,174000,4,5,2,3,3,5,6
468,7,11911,1560,174000,4,5,2,3,3,5,6
469,7,3684,1555,174000,4,5,2,3,3,5,7
470,7,3635,1569,175900,4,5,2,3,3,5,7
471,7,3182,1555,192500,4,5,2,3,3,5,7
472,7,3182,1504,181000,4,5,2,3,3,5,7
473,7,3182,1220,180000,4,5,2,3,3,5,7
474,7,3182,1145,160200,4,5,2,3,3,5,7
475,7,7795,1432,188500,4,5,2,3,3,5,7
476,7,8068,2267,200000,4,5,2,3,3,5,6
477,7,9434,1374,170000,4,5,2,3,3,5,7
478,7,7984,1630,189500,4,5,2,3,3,5,7
479,7,7750,1419,184100,4,5,2,3,3,5,8
480,7,10125,1594,195500,4,5,2,3,3,5,7
481,7,8965,1489,192000,4,5,2,3,3,5,7
482,7,8174,1342,178000,4,5,2,3,3,5,7
483,7,5063,1314,207500,4,5,2,3,3,5,7
484,7,8795,2256,236000,4,5,2,3,3,5,7
485,7,12891,2004,257500,4,5,2,3,3,5,8
486,7,12224,2054,244000,4,5,2,3,3,5,6
487,7,9734,1374,167000,4,5,2,3,3,5,7
488,7,8123,1800,179000,4,5,2,2,2,5,6
489,7,8433,1514,190000,4,5,2,2,2,5,6
490,7,7750,1430,156000,4,5,2,2,2,5,7
491,7,15896,2312,245000,4,5,2,3,3,5,7
492,7,24682,1675,181000,4,5,2,2,2,5,6
493,7,8755,2060,214000,4,5,2,3,3,5,7
494,7,7848,1430,168000,4,4,2,2,2,6,7
495,7,9430,2365,337000,4,5,2,3,3,5,8
496,7,15138,2794,403000,4,5,2,3,4,5,8
497,7,12720,2687,327000,4,5,2,3,3,5,8
498,7,16545,2450,340000,4,5,2,3,3,5,8
499,7,12203,2612,336000,4,5,2,3,3,5,8
500,7,10208,2344,265000,4,5,2,3,3,5,7
501,7,10750,2063,315000,4,5,2,3,3,5,8
502,7,9900,2646,260000,4,5,2,3,3,5,7
503,7,9085,2061,260000,4,5,2,3,3,5,7
504,7,11692,2232,263550,4,5,2,3,3,5,8
505,7,46589,2448,402000,5,5,2,3,3,7,8
506,7,29959,1850,248000,4,5,2,3,3,6,7
507,7,9612,1468,244600,4,5,2,3,3,5,8
508,7,11194,1696,275000,4,5,2,3,3,5,8
509,7,10206,1658,257500,4,5,2,3,3,5,8
510,7,9262,1578,287090,4,5,2,3,4,5,8
511,7,10130,1702,275500,4,5,2,3,3,5,8
512,7,9139,1432,245000,4,5,2,3,3,5,8
513,7,9675,1971,253000,4,5,2,3,3,5,7
514,7,11128,2490,468000,4,5,2,4,4,5,9
