Order,HouseFunctional,Lot Area,Gr Liv Area,SalePrice,Bsmt Cond,Bsmt Qual,Exter Cond,Exter Qual,Kitchen Qual,Overall Cond,Overall Qual,Bsmt Unf SF,BsmtFin Type 1,BsmtFin Type 2,Central Air,Electrical,Exterior_AsbShng,Exterior_BrkComm,Exterior_BrkFace,Exterior_CBlock,Exterior_CemntBd,Exterior_HdBoard,Exterior_ImStucc,Exterior_MetalSd,Exterior_Plywood,Exterior_PreCast,Exterior_Stone,Exterior_Stucco,Exterior_VinylSd,Exterior_Wd Sdng,Exterior_WdShing,Fireplace Qu,Foundation_BrkTil,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,Garage Cond,Garage Finish,Garage Qual,Half Bath,Heating QC,Heating_Floor,Heating_GasA,Heating_GasW,Heating_Grav,Heating_OthW,Heating_Wall,House Style_1.5Unf,House Style_2.5Unf,HouseIsNew,HouseIsreModeled,Kitchen Qual,Low Qual Fin SF,MS SubClass,MS Zoning,Paved Drive,Pool QC,Roof Matl_CompShg,Roof Matl_Membran,Roof Matl_Metal,Roof Matl_Roll,Roof Matl_Tar&Grv,Roof Matl_WdShake,Roof Matl_WdShngl,Roof Style_Flat,Roof Style_Gable,Roof Style_Gambrel,Roof Style_Hip,Roof Style_Mansard,Roof Style_Shed,Street_Grvl,Street_Pave,Utilities
11,7,10000,1655,175900,4,5,2,2,2,5,6,763.0,1,1,1,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,1,0,0,0,3,3,3,1,3,0,1,0,0,0,0,0,0,0,1,2,0,60,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
12,7,7980,1187,185000,4,5,3,2,2,7,6,233.0,4,1,1,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,3,3,3,0,4,0,1,0,0,0,0,0,0,0,1,2,0,20,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
13,7,8402,1465,180400,4,5,2,2,2,5,6,789.0,1,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,0,0,1,0,0,0,3,3,3,1,3,0,1,0,0,0,0,0,0,0,0,2,0,60,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
14,7,10176,1341,171500,4,5,2,2,3,5,7,663.0,5,1,1,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,3,1,3,1,3,0,1,0,0,0,0,0,0,0,0,3,0,20,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
15,7,6820,1502,212000,4,5,2,3,3,5,8,0.0,5,3,1,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,3,2,3,1,2,0,1,0,0,0,0,0,0,0,0,3,0,120,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
16,4,53504,3279,538000,4,5,2,4,4,5,8,234.0,4,1,1,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0,1,0,0,0,3,3,3,1,4,0,1,0,0,0,0,0,0,0,0,4,0,60,6,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3
17,7,12134,1752,164000,4,5,2,3,2,7,8,132.0,5,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,1,3,2,3,0,3,0,1,0,0,0,0,0,0,0,1,2,0,50,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
18,7,11394,1856,394432,4,5,2,3,4,2,9,411.0,5,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5,0,0,1,0,0,0,3,3,3,1,4,0,1,0,0,0,0,0,0,1,0,4,0,20,6,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3
19,7,19138,864,141000,4,4,2,2,2,5,4,744.0,2,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,1,0,0,0,0,3,1,3,0,4,0,1,0,0,0,0,0,0,0,0,2,0,20,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
20,6,13175,2073,210000,4,5,2,2,2,6,6,589.0,4,2,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,1,0,0,0,0,3,1,3,0,2,0,1,0,0,0,0,0,0,0,1,2,0,20,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
21,7,11751,1844,190000,4,5,2,2,2,6,6,1139.0,3,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,1,0,0,0,0,3,2,3,0,4,0,1,0,0,0,0,0,0,0,0,2,0,20,6,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3
22,7,10625,1173,170000,4,5,2,2,3,6,7,0.0,5,2,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,1,0,0,0,0,3,2,3,0,2,0,1,0,0,0,0,0,0,0,0,3,0,85,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
23,7,7500,1674,216000,4,5,2,3,3,5,7,281.0,5,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,0,0,0,3,2,3,1,4,0,1,0,0,0,0,0,0,0,0,3,0,60,7,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
24,7,11241,1004,149000,4,4,2,2,2,7,6,426.0,4,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3,0,1,0,0,0,0,3,3,3,0,4,0,1,0,0,0,0,0,0,0,0,2,0,20,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
25,7,12537,1078,149900,4,4,2,2,2,6,5,344.0,5,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,0,1,0,0,0,0,3,3,3,1,4,0,1,0,0,0,0,0,0,0,1,2,0,20,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
26,7,8450,1056,142000,4,4,2,2,2,6,5,281.0,3,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,0,1,0,0,0,0,3,1,3,0,4,0,1,0,0,0,0,0,0,0,0,2,0,20,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
27,7,8400,882,126000,4,4,2,2,2,5,4,0.0,4,2,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,3,3,3,0,2,0,1,0,0,0,0,0,0,0,0,2,0,20,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
28,7,10500,864,115000,4,4,2,2,2,5,4,432.0,4,1,1,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,20,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
29,7,5858,1337,184000,4,5,2,3,3,5,7,354.0,5,3,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,1,0,0,0,3,3,3,0,4,0,1,0,0,0,0,0,0,0,0,3,0,120,4,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
30,7,1680,987,96000,4,4,2,2,2,5,6,327.0,2,1,1,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,3,1,3,1,2,0,1,0,0,0,0,0,0,0,0,2,0,160,5,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
31,7,1680,1092,105500,4,4,2,2,2,5,5,225.0,2,1,1,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,3,1,3,1,2,0,1,0,0,0,0,0,0,0,0,2,0,160,5,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
32,7,1680,1092,88000,4,4,2,2,2,5,6,525.0,1,1,1,4,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,3,1,3,1,2,0,1,0,0,0,0,0,0,0,0,2,0,160,5,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
33,7,4043,1069,127500,4,5,2,2,2,5,6,709.0,4,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,1,0,0,0,0,3,2,3,0,2,0,1,0,0,0,0,0,0,0,0,2,0,120,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
34,7,2280,1456,149900,4,4,2,2,3,6,6,341.0,4,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,1,0,0,0,0,3,1,3,1,2,0,1,0,0,0,0,0,0,0,0,3,0,160,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
35,7,2280,836,120000,4,5,2,2,2,6,7,836.0,1,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,3,1,3,0,4,0,1,0,0,0,0,0,0,0,0,2,0,120,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
36,7,2280,1456,146000,4,5,2,2,2,5,6,544.0,4,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,1,0,0,0,0,3,1,3,1,1,0,1,0,0,0,0,0,0,0,0,2,0,160,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
37,7,12858,2334,376162,4,5,2,4,4,5,9,1590.0,1,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,0,0,1,0,0,0,3,3,3,1,4,0,1,0,0,0,0,0,0,0,1,4,0,60,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
38,7,11478,1704,306000,4,5,2,3,3,5,8,486.0,5,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,0,0,1,0,0,0,3,2,3,0,4,0,1,0,0,0,0,0,0,0,1,3,0,20,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
39,7,10159,1940,395192,4,5,2,4,4,5,9,284.0,5,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,0,0,1,0,0,0,3,3,3,1,4,0,1,0,0,0,0,0,0,0,1,4,0,20,6,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3
40,7,12883,1544,290941,4,5,2,3,3,5,8,1544.0,1,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,0,0,0,3,2,3,0,4,0,1,0,0,0,0,0,0,0,1,3,0,20,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
41,7,12182,1541,220000,4,5,2,3,3,5,7,340.0,3,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,0,0,1,0,0,0,3,2,3,0,4,0,1,0,0,0,0,0,0,0,0,3,0,20,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
42,7,11520,1698,275000,4,5,2,3,4,5,9,1588.0,5,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,0,0,1,0,0,0,3,3,3,0,4,0,1,0,0,0,0,0,0,0,0,4,0,20,6,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3
43,7,14122,1822,259000,4,5,2,3,4,5,8,1794.0,5,1,1,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0,1,0,0,0,3,2,3,0,4,0,1,0,0,0,0,0,0,0,1,4,0,20,6,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3
44,7,10171,1535,214000,4,5,2,3,3,5,7,1515.0,5,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,0,0,0,3,2,3,0,4,0,1,0,0,0,0,0,0,0,0,3,0,20,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
45,7,12919,2364,611657,4,5,2,4,4,5,9,142.0,5,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,0,0,1,0,0,0,3,3,3,1,4,0,1,0,0,0,0,0,0,0,1,4,0,20,6,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3
46,7,6371,1358,224000,4,5,2,3,3,5,7,625.0,5,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,0,0,1,0,0,0,3,2,3,0,4,0,1,0,0,0,0,0,0,0,1,3,0,120,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
47,7,14300,2696,500000,4,5,2,4,4,5,9,1473.0,5,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,0,0,1,0,0,0,3,3,3,1,4,0,1,0,0,0,0,0,0,0,1,4,0,20,6,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3
48,7,13650,2250,320000,4,5,2,3,3,5,8,1093.0,5,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5,0,0,1,0,0,0,3,3,3,1,4,0,1,0,0,0,0,0,0,0,0,3,0,60,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
49,7,7658,1752,319900,4,5,2,4,4,5,9,1296.0,5,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0,1,0,0,0,3,2,3,0,4,0,1,0,0,0,0,0,0,0,0,4,0,120,6,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3
50,7,7132,1370,205000,4,5,2,3,3,5,8,1346.0,5,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,0,0,1,0,0,0,3,2,3,0,4,0,1,0,0,0,0,0,0,0,0,3,0,120,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
51,7,2628,1626,175500,4,5,2,3,3,5,7,764.0,1,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,0,0,0,3,2,3,1,4,0,1,0,0,0,0,0,0,0,0,3,0,160,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
52,7,18494,1324,199500,4,5,2,3,3,5,6,1324.0,1,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,0,0,0,3,3,3,0,4,0,1,0,0,0,0,0,0,0,0,3,0,20,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
53,7,3203,1145,160000,4,5,2,3,3,5,7,1129.0,5,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,0,0,0,3,3,3,0,4,0,1,0,0,0,0,0,0,0,0,3,0,120,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
54,7,3182,1269,192000,4,5,2,3,3,5,8,1232.0,5,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3,0,0,1,0,0,0,3,3,3,0,4,0,1,0,0,0,0,0,0,0,1,3,0,120,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
55,7,13300,1374,184500,4,5,2,3,3,5,7,58.0,5,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,0,0,1,0,0,0,3,3,3,1,4,0,1,0,0,0,0,0,0,0,0,3,0,80,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
56,7,7851,1960,216500,4,5,2,3,3,5,6,235.0,5,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3,0,0,1,0,0,0,3,3,3,1,4,0,1,0,0,0,0,0,0,0,0,3,0,60,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
57,7,8577,1733,185088,4,5,2,3,3,5,7,847.0,1,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,0,0,1,0,0,0,3,3,3,1,4,0,1,0,0,0,0,0,0,0,0,3,0,60,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
58,7,7750,1430,180000,4,5,2,2,2,5,7,134.0,5,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3,0,0,1,0,0,0,3,3,3,1,4,0,1,0,0,0,0,0,0,0,0,2,0,80,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
59,7,9505,2035,222500,4,5,2,3,3,5,7,884.0,1,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,0,0,1,0,0,0,3,3,3,1,4,0,1,0,0,0,0,0,0,0,0,3,0,60,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
60,7,14774,2599,333168,4,5,2,3,3,5,9,1393.0,1,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3,0,0,1,0,0,0,3,3,3,1,4,0,1,0,0,0,0,0,0,0,0,3,0,60,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
61,7,17433,2475,355000,4,5,2,3,3,5,8,1629.0,1,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3,0,0,1,0,0,0,3,3,3,1,4,0,1,0,0,0,0,0,0,0,0,3,0,60,6,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3
62,7,10593,1720,260400,4,5,2,3,3,5,7,801.0,5,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3,0,0,1,0,0,0,3,3,3,0,4,0,1,0,0,0,0,0,0,0,0,3,0,20,6,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3
63,7,12256,2622,325000,4,5,2,3,3,5,8,431.0,5,1,1,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,1,0,0,0,3,2,3,1,4,0,1,0,0,0,0,0,0,0,1,3,0,60,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
64,7,11764,2270,290000,4,5,2,3,3,7,8,628.0,5,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,0,0,1,0,0,0,3,3,3,1,4,0,1,0,0,0,0,0,0,0,1,3,0,60,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
65,7,16770,1839,221000,4,5,2,3,2,5,7,1195.0,1,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,0,0,0,3,3,3,1,3,0,1,0,0,0,0,0,0,0,0,2,0,60,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
66,7,14720,3238,410000,4,5,2,3,3,5,8,1217.0,5,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5,0,0,1,0,0,0,3,3,3,1,4,0,1,0,0,0,0,0,0,0,1,3,0,50,6,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3
67,7,8987,1595,221500,4,5,2,3,3,5,8,1595.0,1,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,0,0,1,0,0,0,3,2,3,0,4,0,1,0,0,0,0,0,0,0,1,3,0,20,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
