Order,SalePrice,Lot Area,Gr Liv Area,Overall Qual,Exter Qual,Kitchen Qual,Garage Area,PorchSFTotal,BathroomsTotal,HouseAge,HouseRemodelAge,Total Bsmt SF,Railroad_Near,Railroad_Adjacent,Sale Condition_AdjLand,Sale Condition_Alloca,Sale Condition_Normal,Sale Condition_Partial,Sale Type_COD,Sale Type_CWD,Sale Type_Con,Sale Type_ConLD,Sale Type_ConLI,Sale Type_ConLw,Sale Type_New,Sale Type_Oth,Sale Type_VWD,Sale Type_WD
80,194500,132342,24416,98,42,42,6398.0,9492,35.0,238,98,5628.0,14,0,0,0,14,0,0,0,0,0,0,0,0,0,0,14
81,152000,135408,15358,84,28,28,6720.0,0,28.0,364,350,4732.0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,14
82,171000,117600,21896,84,28,28,6664.0,3556,35.0,420,406,0.0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,14
83,67500,137200,14168,70,28,28,6006.0,2814,14.0,1260,840,0.0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,14
84,112000,71440,15216,48,16,16,4312.0,0,16.0,256,256,0.0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,8
85,148000,94256,9240,40,16,24,4608.0,1536,16.0,392,120,7192.0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8
86,138500,67600,7152,40,16,16,2688.0,4480,16.0,360,8,5360.0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,8
87,122000,78552,7200,40,16,16,2240.0,0,8.0,344,344,3600.0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8
88,133000,60000,8320,40,16,16,2464.0,1760,20.0,376,376,6592.0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8
89,127000,55176,8320,40,16,16,2080.0,832,20.0,384,0,5272.0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8
90,169000,123280,11952,48,16,16,3688.0,3856,24.0,288,64,7880.0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
91,190000,264836,49998,182,78,78,14664.0,7254,91.0,468,468,17524.0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,26
92,362500,341718,61074,208,78,78,19812.0,4212,91.0,442,442,32006.0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,26
93,285000,289484,57850,208,78,78,18538.0,5928,91.0,468,442,29354.0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,26
94,260000,106370,32736,154,66,66,11132.0,4796,66.0,132,110,28556.0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,22
95,190000,77330,36960,154,66,66,12936.0,2442,55.0,132,132,0.0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,22
96,155000,70730,26400,154,66,66,10560.0,3784,55.0,132,132,6160.0,0,0,0,0,22,0,0,0,0,22,0,0,0,0,0,0
97,151000,70004,26400,154,66,66,10560.0,3784,55.0,132,110,0.0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,22
98,149500,55968,26400,154,66,66,10560.0,3784,77.0,132,110,9020.0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,22
99,152000,55968,27192,132,66,66,10560.0,3652,77.0,110,110,8272.0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,22
100,222000,96866,32516,154,88,66,10648.0,3168,77.0,22,22,12716.0,0,0,0,0,0,22,0,0,0,0,0,0,22,0,0,0
101,177500,46574,34606,132,66,66,9680.0,704,55.0,220,220,8316.0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,22
102,177000,65560,33264,132,66,66,9680.0,704,77.0,220,220,10252.0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,22
103,155000,56584,31152,154,66,66,10648.0,968,77.0,242,242,13288.0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,22
104,147110,52866,23760,154,66,66,10912.0,1100,55.0,154,154,5368.0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,22
105,267916,282766,31196,176,66,66,18744.0,12672,55.0,0,0,22704.0,0,0,0,0,0,22,0,0,0,0,0,0,22,0,0,0
106,254000,162338,40656,176,66,66,13024.0,10208,77.0,220,220,10648.0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,22
107,155000,75140,13396,136,51,51,8228.0,2975,34.0,510,510,12376.0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,17
108,206000,65960,20842,136,51,51,8228.0,5117,34.0,544,544,17884.0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,17
109,130500,108136,11832,48,24,24,3800.0,352,20.0,272,40,4264.0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,8
110,230000,176000,32824,154,66,66,13112.0,9108,66.0,176,176,18326.0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,22
111,218500,156840,27435,90,30,30,8025.0,1140,45.0,645,645,7590.0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,15
112,243500,161865,37425,90,30,45,9900.0,3840,52.5,255,255,17055.0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,15
113,205000,159045,24150,90,30,45,7200.0,3540,45.0,495,135,18000.0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,15
114,212500,282555,28365,90,30,30,10170.0,1035,52.5,480,480,10995.0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,15
115,196500,156315,25710,105,30,30,7440.0,6750,37.5,330,330,5910.0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,15
116,197500,140400,20715,90,30,45,10140.0,0,37.5,570,60,14730.0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,15
117,171000,144000,24675,90,30,30,6615.0,1170,30.0,585,585,4935.0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,15
118,142250,115200,14784,60,24,24,5880.0,2688,30.0,528,528,8376.0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,12
119,143000,146850,19920,90,30,30,7920.0,390,37.5,705,705,9750.0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,15
120,128950,111840,14700,48,24,24,0.0,4224,30.0,612,612,6828.0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,12
121,159000,118800,14508,60,24,24,6048.0,1440,24.0,528,528,12708.0,0,0,0,0,12,0,0,0,0,12,0,0,0,0,0,0
122,178900,116160,18120,60,24,36,6204.0,2928,36.0,516,516,12120.0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,12
123,136300,127200,21300,72,24,24,5760.0,2064,24.0,552,552,0.0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0
124,180500,169344,13824,60,24,24,5808.0,2724,24.0,552,552,12168.0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,12
125,137500,105600,12648,72,24,36,5760.0,1440,24.0,564,564,9156.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
126,84900,159120,20736,60,24,24,0.0,0,48.0,576,108,18000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0
127,142125,116604,12936,60,24,36,2880.0,5736,24.0,720,168,12936.0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,12
128,197600,116688,29532,60,36,24,4800.0,0,24.0,696,96,8040.0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,12
129,172500,208320,18672,72,24,24,5640.0,1800,24.0,732,720,3600.0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,12
130,116500,36035,4290,25,10,10,0.0,585,10.0,260,10,3480.0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5
131,76500,26750,6530,15,10,5,0.0,1315,5.0,350,220,0.0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5
132,128000,119040,12756,60,24,24,3360.0,1968,24.0,672,672,7728.0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,12
133,153000,115200,18240,72,24,24,4368.0,2268,24.0,660,456,9672.0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,12
134,132000,93600,15216,60,24,24,2928.0,1176,12.0,672,672,6480.0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,12
135,178000,136560,13536,72,24,36,3780.0,2856,24.0,528,24,11328.0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,12
136,154300,139200,27288,60,24,24,5760.0,0,24.0,600,600,5316.0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,12
137,180000,238800,26484,84,24,24,6912.0,3612,36.0,480,252,10944.0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,12
138,190000,197904,22656,72,36,36,6936.0,0,30.0,528,96,11520.0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,12
139,135000,99204,19248,60,24,24,6912.0,504,24.0,624,624,0.0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,12
140,214000,98364,17760,84,36,36,7440.0,3900,36.0,84,12,14256.0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,12
141,136000,96600,13716,60,24,24,3696.0,0,24.0,612,612,12216.0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,12
142,165500,126624,20400,60,24,36,5364.0,456,24.0,612,612,12216.0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,12
143,145000,100800,15768,60,24,24,3528.0,3000,24.0,636,636,11064.0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,12
144,148000,105120,14328,72,24,24,3744.0,1440,24.0,612,612,0.0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,12
145,142000,145920,14256,60,24,24,6372.0,0,24.0,612,612,12000.0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0
146,167500,111600,15168,60,24,24,5532.0,1716,24.0,600,600,8364.0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,12
147,108538,128700,14472,60,24,24,3744.0,252,12.0,612,612,11232.0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,12
148,159500,120384,18960,72,24,24,5280.0,2256,30.0,612,612,8808.0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,12
149,108000,100584,16044,48,24,24,3156.0,0,12.0,648,648,0.0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,12
150,135000,131400,12768,60,24,12,3816.0,0,18.0,696,696,4068.0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,12
151,122500,130740,11664,60,24,24,3660.0,2460,12.0,660,660,7776.0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,12
152,119000,163044,11856,60,24,24,3168.0,0,24.0,624,624,6384.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
153,109000,95064,12684,60,24,36,2952.0,624,24.0,684,36,8772.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
154,105000,94776,11820,48,24,24,8112.0,0,18.0,1080,192,0.0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,12
155,107500,86400,9924,60,24,24,4704.0,0,12.0,660,36,0.0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,12
156,144900,122400,13032,60,24,24,5880.0,0,24.0,672,84,8184.0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,12
157,129000,70416,11232,60,24,24,3696.0,2880,24.0,648,120,5856.0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,12
158,97500,210036,17496,72,24,24,3960.0,2304,18.0,744,720,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
159,144000,27916,4224,24,8,8,2304.0,1280,8.0,120,120,4224.0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
160,162000,117960,15444,60,24,36,6912.0,6756,24.0,612,48,3960.0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,12
161,242000,135300,35736,84,36,36,6768.0,2880,30.0,516,36,0.0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,12
162,132000,96768,14688,72,24,24,3360.0,4968,24.0,744,72,7860.0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,12
163,154000,90000,14952,60,24,36,3660.0,2616,30.0,612,192,14952.0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,12
164,166000,102240,16620,60,24,24,8640.0,0,24.0,696,696,6084.0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,12
165,134800,86400,10800,60,24,36,6912.0,3048,18.0,708,120,8640.0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,12
166,160000,120000,13392,72,24,24,5280.0,4620,18.0,576,576,0.0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,12
167,148000,91620,14100,60,24,24,5808.0,0,18.0,600,600,11256.0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,12
168,192000,117120,16740,72,24,24,5280.0,12120,24.0,564,312,11760.0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,12
169,155000,92400,22068,72,24,24,5304.0,4080,18.0,528,528,0.0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,12
170,80400,19200,7376,16,8,8,960.0,336,8.0,440,224,192.0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
171,96500,35200,4560,16,8,8,0.0,640,4.0,400,24,0.0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
172,109500,17940,3744,20,8,8,0.0,744,8.0,360,240,2316.0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
173,115000,35840,4112,20,8,8,1440.0,520,4.0,332,240,0.0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
174,143000,23220,5388,20,8,12,2204.0,0,10.0,212,212,5388.0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
175,107400,23160,6420,12,12,8,1516.0,808,8.0,380,240,0.0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
176,80000,18432,2988,16,8,8,880.0,0,4.0,260,240,0.0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
177,119000,28800,3216,20,8,12,960.0,616,8.0,280,72,2040.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
178,130000,22000,5264,20,8,8,1936.0,0,8.0,324,36,3704.0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
179,119000,27600,5004,24,8,4,960.0,0,4.0,288,40,0.0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
180,129000,47404,6532,20,8,12,960.0,904,4.0,248,4,3120.0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
181,100000,32956,4980,20,8,8,1260.0,1336,4.0,360,192,704.0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
182,12789,38624,3328,8,8,8,3120.0,0,4.0,348,160,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
183,105900,34080,2880,24,8,8,1936.0,424,4.0,328,28,0.0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
184,150000,38400,6264,32,12,12,1152.0,2112,8.0,440,28,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
185,139000,43200,6608,20,8,8,1664.0,784,12.0,380,240,2744.0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
186,240000,36000,9072,32,12,12,2496.0,432,12.0,480,32,0.0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
187,76500,36180,9024,20,8,4,0.0,144,8.0,400,240,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
188,149700,29628,4944,24,8,8,3692.0,1264,8.0,212,56,2400.0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
189,125500,30960,5452,16,8,8,2112.0,672,4.0,400,240,0.0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
190,122500,45360,9160,16,8,8,2240.0,456,8.0,500,240,0.0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
191,140750,42240,5880,24,8,8,2496.0,0,6.0,352,64,1132.0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
192,128500,29150,8060,25,10,10,1815.0,0,7.5,300,65,3940.0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5
193,209500,38965,10340,35,10,15,1575.0,300,7.5,440,25,2370.0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5
194,87000,25000,3825,20,10,15,1000.0,880,10.0,425,300,940.0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5
