1st Flr SF,2nd Flr SF,3Ssn Porch,Alley,BathroomsTotal,Bedroom AbvGr,Bldg Type_1Fam,Bldg Type_2fmCon,Bldg Type_Duplex,Bldg Type_Twnhs,Bldg Type_TwnhsE,Bsmt Cond,Bsmt Exposure,Bsmt Full Bath,Bsmt Half Bath,Bsmt Qual,Bsmt Unf SF,BsmtFin SF 1,BsmtFin SF 2,BsmtFin Type 1,BsmtFin Type 2,Central Air,Electrical,Enclosed Porch,Exter Cond,Exter Qual,Exterior_AsbShng,Exterior_BrkComm,Exterior_BrkFace,Exterior_CBlock,Exterior_CemntBd,Exterior_HdBoard,Exterior_ImStucc,Exterior_MetalSd,Exterior_Plywood,Exterior_PreCast,Exterior_Stone,Exterior_Stucco,Exterior_VinylSd,Exterior_Wd Sdng,Exterior_WdShing,Fence,Fireplace Qu,Fireplaces,Foundation_BrkTil,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,Full Bath,Functional,Functional_bin,Garage Area,Garage Cars,Garage Cond,Garage Finish,Garage Qual,Garage Type_2Types,Garage Type_Attchd,Garage Type_Basment,Garage Type_BuiltIn,Garage Type_CarPort,Garage Type_Detchd,Garage Type_None,GarageAge,Gr Liv Area,Half Bath,Heating QC,Heating_Floor,Heating_GasA,Heating_GasW,Heating_Grav,Heating_OthW,Heating_Wall,House Style_1.5Fin,House Style_1.5Unf,House Style_1Story,House Style_2.5Fin,House Style_2.5Unf,House Style_2Story,House Style_SFoyer,House Style_SLvl,HouseAge,HouseIsNew,HouseIsreModeled,HouseRemodelAge,Kitchen AbvGr,Kitchen Qual,Land Contour,Land Slope,Lot Area,Lot Config,Lot Frontage,Lot Shape,Low Qual Fin SF,MS SubClass,MS Zoning,Mas Vnr Area,Misc Feature_Gar2,Misc Feature_NA,Misc Feature_Othr,Misc Feature_Shed,Misc Feature_TenC,Misc Val,NeighborhoodClass,Neighborhood_Blmngtn,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_Greens,Neighborhood_GrnHill,Neighborhood_IDOTRR,Neighborhood_Landmrk,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,Open Porch SF,Order,Overall Cond,Overall Qual,Paved Drive,Pool Area,Pool QC,PorchSFTotal,PosFeature_Adjacent,PosFeature_Near,Railroad_Adjacent,Railroad_Near,RenovationNeeded,Roof Matl_CompShg,Roof Matl_Membran,Roof Matl_Metal,Roof Matl_Roll,Roof Matl_Tar&Grv,Roof Matl_WdShake,Roof Matl_WdShngl,Roof Style_Flat,Roof Style_Gable,Roof Style_Gambrel,Roof Style_Hip,Roof Style_Mansard,Roof Style_Shed,Sale Condition_Abnorml,Sale Condition_AdjLand,Sale Condition_Alloca,Sale Condition_Family,Sale Condition_Normal,Sale Condition_Partial,Sale Type_COD,Sale Type_CWD,Sale Type_Con,Sale Type_ConLD,Sale Type_ConLI,Sale Type_ConLw,Sale Type_New,Sale Type_Oth,Sale Type_VWD,Sale Type_WD,SalePrice,Screen Porch,Street_Aterial,Street_Feeder,Street_Grvl,Street_Pave,TotRms AbvGrd,Total Bsmt SF,Utilities,Wood Deck SF
763,892,0,0,2.5,3,True,False,False,False,False,4,0,0.0,0.0,5,763.0,0.0,0.0,1,1,1,4,0,2,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,1,False,False,True,False,False,False,2,7,1,440.0,2.0,3,3,3,False,True,False,False,False,False,False,17,1655,1,3,False,True,False,False,False,False,False,False,False,False,False,True,False,False,17,0,1,16,1,2,5,5,10000,2,75.0,2,0,60,6,0.0,False,True,False,False,False,0,2,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,84,11,5,6,2,0,0,241,0,0,0,0,0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,175900,0,0,0,False,True,7,0.0,3,157
1187,0,0,0,3.0,3,True,False,False,False,False,4,0,1.0,1.0,5,233.0,935.0,0.0,4,1,1,4,0,3,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0,False,False,True,False,False,False,2,7,1,420.0,2.0,3,3,3,False,True,False,False,False,False,False,18,1187,0,4,False,True,False,False,False,False,False,False,True,False,False,False,False,False,18,0,1,3,1,2,5,5,7980,3,74.20720672607422,2,0,20,6,0.0,False,False,False,True,False,500,2,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,21,12,7,6,2,0,0,504,0,0,0,0,0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,185000,0,0,0,False,True,6,935.0,3,483
789,676,0,0,2.5,3,True,False,False,False,False,4,0,0.0,0.0,5,789.0,0.0,0.0,1,1,1,4,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,4,1,False,False,True,False,False,False,2,7,1,393.0,2.0,3,3,3,False,True,False,False,False,False,False,12,1465,1,3,False,True,False,False,False,False,False,False,False,False,False,True,False,False,12,0,0,12,1,2,5,5,8402,3,63.0,2,0,60,6,0.0,False,True,False,False,False,0,2,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,75,13,5,6,2,0,0,75,0,0,0,0,0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,180400,0,0,0,False,True,7,0.0,3,0
1341,0,0,0,2.5,2,True,False,False,False,False,4,3,1.0,1.0,5,663.0,637.0,0.0,5,1,1,4,0,2,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,False,False,True,False,False,False,1,7,1,506.0,2.0,3,1,3,False,True,False,False,False,False,False,20,1341,1,3,False,True,False,False,False,False,False,False,True,False,False,False,False,False,20,0,0,20,1,3,5,5,10176,3,85.0,5,0,20,6,0.0,False,True,False,False,False,0,2,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,14,5,7,2,0,0,192,0,0,0,0,1,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,171500,0,0,0,False,True,5,637.0,3,192
1502,0,0,0,2.5,1,False,False,False,False,True,4,2,1.0,1.0,5,0.0,368.0,1120.0,5,3,1,4,0,2,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False,False,True,False,False,False,1,7,1,528.0,2.0,3,2,3,False,True,False,False,False,False,False,25,1502,1,2,False,True,False,False,False,False,False,False,True,False,False,False,False,False,25,0,0,25,1,3,5,5,6820,2,62.173912048339844,2,0,120,6,0.0,False,True,False,False,False,0,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,54,15,5,8,2,0,0,194,0,0,0,0,0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,212000,140,0,0,False,True,4,1488.0,3,0
1690,1589,0,0,4.5,4,True,False,False,False,False,4,3,1.0,1.0,5,234.0,1416.0,0.0,4,1,1,4,0,2,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,1,False,False,True,False,False,False,3,4,1,841.0,3.0,3,3,3,False,False,False,True,False,False,False,7,3279,1,4,False,True,False,False,False,False,False,False,False,False,False,True,False,False,7,0,0,7,1,4,1,2,53504,4,47.0,1,0,60,6,603.0,False,True,False,False,False,0,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,36,16,5,8,2,0,0,749,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,538000,210,0,0,False,True,12,1416.0,3,503
1080,672,0,0,2.0,4,True,False,False,False,False,4,2,0.0,0.0,5,132.0,427.0,0.0,5,1,1,4,0,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,False,False,False,False,False,True,2,7,1,492.0,2.0,3,2,3,False,False,True,False,False,False,False,22,1752,0,3,False,True,False,False,False,False,True,False,False,False,False,False,False,False,22,0,1,5,1,2,2,2,12134,3,152.0,2,0,50,6,0.0,False,True,False,False,False,0,2,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12,17,7,8,2,0,0,337,0,0,0,0,0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,164000,0,0,0,False,True,8,427.0,3,325
1856,0,0,0,2.5,1,True,False,False,False,False,4,2,1.0,1.0,5,411.0,1445.0,0.0,5,1,1,4,0,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,5,1,False,False,True,False,False,False,1,7,1,834.0,3.0,3,3,3,False,True,False,False,False,False,False,0,1856,1,4,False,True,False,False,False,False,False,False,True,False,False,False,False,False,0,1,0,0,1,4,5,5,11394,2,88.0,5,0,20,6,350.0,False,True,False,False,False,0,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,18,2,9,2,0,0,113,0,0,0,0,1,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,394432,0,0,0,False,True,8,1445.0,3,113
864,0,0,0,1.0,2,True,False,False,False,False,4,0,0.0,0.0,4,744.0,120.0,0.0,2,1,1,4,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,False,True,False,False,False,False,1,7,1,400.0,2.0,3,1,3,False,False,False,False,False,True,False,59,864,0,4,False,True,False,False,False,False,False,False,True,False,False,False,False,False,59,0,0,59,1,2,5,5,19138,2,140.0,5,0,20,6,0.0,False,True,False,False,False,0,2,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,19,5,4,2,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,141000,0,0,0,False,True,4,120.0,3,0
2073,0,0,0,3.0,3,True,False,False,False,False,4,0,1.0,1.0,5,589.0,790.0,163.0,4,2,1,4,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,2,False,True,False,False,False,False,2,6,1,500.0,2.0,3,1,3,False,True,False,False,False,False,False,32,2073,0,2,False,True,False,False,False,False,False,False,True,False,False,False,False,False,32,0,1,22,1,2,5,5,13175,3,85.0,5,0,20,6,119.0,False,True,False,False,False,0,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0,20,6,6,2,0,0,349,0,0,0,0,0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,210000,0,0,0,False,True,7,953.0,3,349
1844,0,0,0,2.0,3,True,False,False,False,False,4,0,0.0,0.0,5,1139.0,705.0,0.0,3,1,1,4,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,1,False,True,False,False,False,False,2,7,1,546.0,2.0,3,2,3,False,True,False,False,False,False,False,33,1844,0,4,False,True,False,False,False,False,False,False,True,False,False,False,False,False,33,0,0,33,1,2,5,5,11751,3,105.0,2,0,20,6,480.0,False,True,False,False,False,0,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,122,21,6,6,2,0,0,122,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,190000,0,0,0,False,True,7,705.0,3,0
1173,0,0,0,3.0,3,True,False,False,False,False,4,3,1.0,1.0,5,0.0,885.0,168.0,5,2,1,4,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,2,False,True,False,False,False,False,2,7,1,528.0,2.0,3,2,3,False,True,False,False,False,False,False,36,1173,0,2,False,True,False,False,False,False,False,False,False,False,False,False,True,False,36,0,0,36,1,3,5,5,10625,3,85.0,5,0,85,6,81.0,False,True,False,False,False,0,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,120,22,6,7,2,0,0,120,0,0,0,0,0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,170000,0,0,0,False,True,6,1053.0,3,0
814,860,0,0,3.5,3,True,False,False,False,False,4,0,1.0,1.0,5,281.0,533.0,0.0,5,1,1,4,0,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,False,False,True,False,False,False,2,7,1,663.0,2.0,3,2,3,False,True,False,False,False,False,False,10,1674,1,4,False,True,False,False,False,False,False,False,False,False,False,True,False,False,10,0,0,10,1,3,5,5,7500,3,64.54938507080078,5,0,60,7,0.0,False,True,False,False,False,0,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,96,23,5,7,2,0,0,96,0,0,0,0,0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,216000,0,0,0,False,True,7,533.0,3,0
1004,0,0,0,2.0,2,True,False,False,False,False,4,0,1.0,1.0,4,426.0,578.0,0.0,4,1,1,4,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,3,1,False,True,False,False,False,False,1,7,1,480.0,2.0,3,3,3,False,True,False,False,False,False,False,40,1004,0,4,False,True,False,False,False,False,False,False,True,False,False,False,False,False,40,0,0,40,1,2,5,5,11241,4,75.2106704711914,2,0,20,6,180.0,False,False,False,True,False,700,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0,24,7,6,2,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,149000,0,0,0,False,True,5,578.0,3,0
