Order,MS SubClass,Lot Frontage,Lot Area,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Mas Vnr Area,Exter Qual,Exter Cond,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Total Bsmt SF,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Yr Blt,Garage Finish,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Val,Mo Sold,Yr Sold,SalePrice,SalesPriceLog,Railroad_Adjacent,Railroad_Near,Street_Feeder,Street_Aterial,PosFeature_Adjacent,PosFeature_Near,NeighborhoodClass,MS Zoning_ord,Street_Grvl,Street_Pave,Neighborhood_Blmngtn,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_Greens,Neighborhood_GrnHill,Neighborhood_IDOTRR,Neighborhood_Landmrk,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,House Style_1.5Fin,House Style_1.5Unf,House Style_1Story,House Style_2.5Fin,House Style_2.5Unf,House Style_2Story,House Style_SFoyer,House Style_SLvl,Bldg Type_1Fam,Bldg Type_2fmCon,Bldg Type_Duplex,Bldg Type_Twnhs,Bldg Type_TwnhsE,Foundation_BrkTil,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,HouseAge,RemodelAge,IsreModeled,IsNew,TotalBathrooms,TotalPorchSF,Mas Vnr Type_,Mas Vnr Type_BrkCmn,Mas Vnr Type_BrkFace,Mas Vnr Type_CBlock,Mas Vnr Type_None,Mas Vnr Type_Stone,Roof Matl_ClyTile,Roof Matl_CompShg,Roof Matl_Membran,Roof Matl_Metal,Roof Matl_Roll,Roof Matl_Tar&Grv,Roof Matl_WdShake,Roof Matl_WdShngl,Roof Style_Flat,Roof Style_Gable,Roof Style_Gambrel,Roof Style_Hip,Roof Style_Mansard,Roof Style_Shed,Misc Feature_Elev,Misc Feature_Gar2,Misc Feature_NA,Misc Feature_Othr,Misc Feature_Shed,Misc Feature_TenC,Heating_Floor,Heating_GasA,Heating_GasW,Heating_Grav,Heating_OthW,Heating_Wall,Exterior_AsbShng,Exterior_BrkComm,Exterior_BrkFace,Exterior_CBlock,Exterior_CemntBd,Exterior_HdBoard,Exterior_ImStucc,Exterior_MetalSd,Exterior_Plywood,Exterior_PreCast,Exterior_Stone,Exterior_Stucco,Exterior_VinylSd,Exterior_Wd Sdng,Exterior_WdShing,Garage Type_2Types,Garage Type_Attchd,Garage Type_Basment,Garage Type_BuiltIn,Garage Type_CarPort,Garage Type_Detchd,Garage Type_NA,GarageAge,Sale Condition_AdjLand,Sale Condition_Alloca,Sale Condition_Normal,Sale Condition_Partial,Sale Type_COD,Sale Type_CWD,Sale Type_Con,Sale Type_ConLD,Sale Type_ConLI,Sale Type_ConLw,Sale Type_New,Sale Type_Oth,Sale Type_VWD,Sale Type_WD
11,60,75.0,10000,0,2,3,4,2,3,6,5,1993,1994,0.0,0,0,3.0,2.5,0.0,1.0,0.0,1.0,0.0,0.0,3,1,4.0,763,892,0,1655,0.0,0.0,2,1,3,1,0,7,7,1,2.5,1993.0,3.0,3.0,3.0,2,157,84,0,0,0,0,0,0,0,4,2010,175900,12.077670930725649,0.0,0.0,0.0,0.0,0.0,0.0,2,7,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,17,16,0,0,2.5,241,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,17.0,False,False,True,False,False,False,False,False,False,False,False,False,False,True
12,20,74.20720672607422,7980,0,2,3,4,3,3,6,7,1992,2007,0.0,0,1,3.0,2.5,0.0,3.5,935.0,1.0,0.0,935.0,4,1,4.0,1187,0,0,1187,1.0,1.0,2,0,3,1,0,6,7,0,0.0,1992.0,3.0,3.0,3.0,2,483,21,0,0,0,0,0,4,500,3,2010,185000,12.128111104060462,0.0,0.0,0.0,0.0,0.0,0.0,2,7,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,18,3,0,0,3.0,504,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,18.0,False,False,True,False,False,False,False,False,False,False,False,False,False,True
13,60,63.0,8402,0,2,3,4,3,3,6,5,1998,1998,0.0,0,0,3.0,2.5,0.0,1.0,0.0,1.0,0.0,0.0,3,1,4.0,789,676,0,1465,0.0,0.0,2,1,3,1,0,7,7,1,3.0,1998.0,3.0,3.0,3.0,2,0,75,0,0,0,0,0,0,0,5,2010,180400,12.10293188661066,0.0,0.0,0.0,0.0,0.0,0.0,2,7,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,12,12,1,0,2.5,75,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,True,False,False,False,False,False,12.0,False,False,True,False,False,False,False,False,False,False,False,False,False,True
14,20,85.0,10176,0,3,3,4,3,3,7,5,1990,1990,0.0,0,0,3.0,2.5,3.0,4.0,637.0,1.0,0.0,637.0,3,1,4.0,1341,0,0,1341,1.0,1.0,1,1,2,1,1,5,7,1,1.5,1990.0,1.0,3.0,3.0,2,192,0,0,0,0,0,0,0,0,2,2010,171500,12.052338545588132,0.0,0.0,0.0,0.0,0.0,0.0,2,7,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,20,20,1,0,2.5,192,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,20.0,False,False,True,False,False,False,False,False,False,False,False,False,False,True
15,120,62.173912048339844,6820,0,2,3,4,2,3,8,5,1985,1985,0.0,1,0,3.0,2.5,2.0,4.0,368.0,3.0,1120.0,1488.0,2,1,4.0,1502,0,0,1502,1.0,1.0,1,1,1,1,1,4,7,0,0.0,1985.0,2.0,3.0,3.0,2,0,54,0,0,140,0,0,0,0,6,2010,212000,12.26434155365415,0.0,0.0,0.0,0.0,0.0,0.0,3,7,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,25,25,1,0,2.5,194,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,25.0,False,False,True,False,False,False,False,False,False,False,False,False,False,True
16,60,47.0,53504,0,1,1,4,4,2,8,5,2003,2003,603.0,4,0,3.0,2.5,3.0,3.5,1416.0,1.0,0.0,1416.0,4,1,4.0,1690,1589,0,3279,1.0,1.0,3,1,4,1,4,12,4,1,3.0,2003.0,3.0,3.0,3.0,2,503,36,0,0,210,0,0,0,0,6,2010,538000,13.195613839143922,0.0,0.0,0.0,0.0,0.0,0.0,3,7,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,7,7,1,0,4.5,749,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,False,7.0,False,False,True,False,False,False,False,False,False,False,False,False,False,True
17,50,152.0,12134,0,2,2,4,3,2,8,7,1988,2005,0.0,1,0,3.0,2.5,2.0,4.0,427.0,1.0,0.0,427.0,3,1,4.0,1080,672,0,1752,0.0,0.0,2,0,4,1,0,8,7,0,0.0,1988.0,2.0,3.0,3.0,2,325,12,0,0,0,0,0,0,0,6,2010,164000,12.007621706806335,0.0,0.0,0.0,0.0,0.0,0.0,2,7,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,22,5,0,0,2.0,337,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False,False,True,False,False,False,False,22.0,False,False,True,False,False,False,False,False,False,False,False,False,False,True
18,20,88.0,11394,0,3,3,4,2,3,9,2,2010,2010,350.0,1,0,4.0,2.5,2.0,4.0,1445.0,1.0,0.0,1445.0,4,1,4.0,1856,0,0,1856,1.0,1.0,1,1,1,1,4,8,7,1,4.0,2010.0,3.0,3.0,3.0,2,113,0,0,0,0,0,0,0,0,6,2010,394432,12.885202034321916,0.0,0.0,0.0,0.0,0.0,0.0,3,7,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0,0,1,1,2.5,113,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,True,False,False,False,False,False,0.0,False,False,False,True,False,False,False,False,False,False,True,False,False,False
19,20,140.0,19138,0,3,3,4,2,3,4,5,1951,1951,0.0,0,0,2.5,2.5,0.0,2.0,120.0,1.0,0.0,120.0,4,1,4.0,864,0,0,864,0.0,0.0,1,0,2,1,0,4,7,0,0.0,1951.0,1.0,3.0,3.0,2,0,0,0,0,0,0,0,0,0,6,2010,141000,11.856515169360305,0.0,0.0,0.0,0.0,0.0,0.0,2,7,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,59,59,1,0,1.0,0,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,False,False,False,False,True,False,59.0,False,False,True,False,False,False,False,False,False,False,False,False,False,True
20,20,85.0,13175,0,3,3,4,3,3,6,6,1978,1988,119.0,0,0,3.0,2.5,0.0,3.5,790.0,2.0,163.0,953.0,2,1,4.0,2073,0,0,2073,1.0,1.0,2,0,3,1,0,7,6,2,2.5,1978.0,1.0,3.0,3.0,2,349,0,0,0,0,0,0,2,0,2,2010,210000,12.254862809699606,0.0,0.0,0.0,0.0,0.0,0.0,2,7,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,32,22,0,0,3.0,349,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,32.0,False,False,True,False,False,False,False,False,False,False,False,False,False,True
21,20,105.0,11751,0,2,3,4,3,3,6,6,1977,1977,480.0,0,0,3.0,2.5,0.0,3.0,705.0,1.0,0.0,705.0,4,1,4.0,1844,0,0,1844,0.0,0.0,2,0,3,1,0,7,7,1,2.5,1977.0,2.0,3.0,3.0,2,0,122,0,0,0,0,0,2,0,1,2010,190000,12.154779351142624,0.0,0.0,0.0,0.0,0.0,0.0,2,7,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,33,33,1,0,2.0,122,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,33.0,False,False,True,False,True,False,False,False,False,False,False,False,False,False
